id,displayName,description,category,eatable,canBeBurned,burningTime,tradingSellValue,tradingBuyValue,iconName,
[Tools] Simple Tools,Tools,"Used primarily for exploration, opening caches, and completing difficult events.",Fuel & Exploration,False,False,0,16.65,27.75,Icon_Resource_SimpleTools,
[Valuable] Amber,Amber,A widely accepted currency in the kingdom. Crystalized tree blood... fitting.,Trade Goods,False,False,0,12,15,Icon_Resource_Amber,
[Valuable] Ancient Tablet,Ancient Tablet,"Valuable sources of knowledge, highly sought after by traders and the Queen herself. They can be found in Dangerous or Forbidden Glades.",Trade Goods,False,False,0,96,160,Icon_Resource_AncientTablet,
[Valuable] Thunderblight Shard,Thunderblight Shard,"A rare, lightning-infused crystal used in the creation of cornerstones. Obtained by mining in the Ashen Thicket.",Trade Goods,False,False,0,96,160,Icon_Resource_ThunderblightShard,
[Vessel] Barrels,Barrels,"Used for crafting.",Crafting Resources,False,False,0,2.4,4,Icon_Resource_Barrels,
[Vessel] Pottery,Pottery,"Used for crafting.",Crafting Resources,False,False,0,2.1,3.5,Icon_Resource_Pottery,
[Vessel] Waterskin,Waterskins,"Used for crafting.",Crafting Resources,False,False,0,2.25,3.75,Icon_Resource_Waterskins,
[Water] Clearance Water,Clearance Water,Highly concentrated yellow clearance rainwater. Used to power Rain Engines in crafting-oriented buildings.,Crafting Resources,False,False,0,0.75,1.25,Icon_Resource_ClearanceWater,
[Water] Drizzle Water,Drizzle Water,Highly concentrated green drizzle rainwater. Used to power Rain Engines in food-oriented buildings.,Crafting Resources,False,False,0,0.75,1.25,Icon_Resource_DrizzleWater,
[Water] Storm Water,Storm Water,Highly concentrated blue storm rainwater. Used to power Rain Engines in industry-oriented buildings.,Crafting Resources,False,False,0,0.75,1.25,Icon_Resource_StormWater,
_Meta Artifacts,Artifacts,"The remnants of a long-forgotten world. Earned by completing world events, modifiers, seals, and daily expeditions. Can be used to purchase upgrades in the Smoldering City.",Trade Goods,False,False,0,60,90,Icon_MetaResource_Artifact,
_Meta Food Stockpiles,Food Stockpiles,A basic currency of the realm. Earned by completing settlements. Can be used to purchase upgrades in the Smoldering City.,Trade Goods,False,False,0,30,45,Icon_MetaResource_FoodStockpiles,
_Meta Machinery,Machinery,"Rainpunk technology ripped from the past. Earned by completing world events, modifiers, seals, and daily expeditions. Can be used to purchase upgrades in the Smoldering City.",Trade Goods,False,False,0,60,90,Icon_MetaResource_Machinery,
Blight Fuel,Purging Fire,"A unique resource used by Blight Fighters to burn down Blightrot Cysts.",Fuel & Exploration,False,False,0,3.75,6.25,Icon_Resource_PurgingFire,
Hearth Parts,Wildfire Essence,"A sentient flame trapped in a bottle. This rare material is used to light the Holy Flame in Hearths. Can be acquired from orders, Glade Events, or traders.",Building Materials,False,False,0,30,50,Icon_Resource_Wildfire,
