id,displayName,description,category,sizeX,sizeY,requiredGood1,requiredGood2,requiredGood3,constructionTime,cityScore,movable,initiallyEssential,storage,workplace1,workplace2,workplace3,workplace4,recipe1,recipe2,recipe3,recipe4,
Field Kitchen,Field Kitchen,"Can produce:  <sprite name=[food processed] skewers> Skewers (<sprite name=grade0>), <sprite name=[food processed] paste> Paste (<sprite name=grade0>), <sprite name=[food processed] biscuits> Biscuits (<sprite name=grade0>), <sprite name=[food processed] pickled goods> Pickled Goods (<sprite name=grade0>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Food Production,2,2,2 [Mat Processed] Planks,2 [Mat Processed] Fabric,,20,5,True,False,5,Any,Any,,,[Food Processed] Skewers T0,[Food Processed] Paste T0,[Food Processed] Biscuits T0,[Food Processed] Pickled Goods T0,
Finesmith,Finesmith,"Can produce:  <sprite name=[valuable] amber> Amber (<sprite name=grade3>), <sprite name=[tools] simple tools> Tools (<sprite name=grade3>). 
Can use: <sprite name=[water] storm water> Storm Water.",Industry,3,3,10 [Mat Processed] Planks,10 [Mat Processed] Bricks,,40,10,False,False,10,Any,Any,Any,,[R] Amber,Tools Simple T3,,,
Flawless Brewery,Flawless Brewery,"Can produce:  <sprite name=[needs] ale> Ale (<sprite name=grade3>), <sprite name=[food processed] porridge> Porridge (<sprite name=grade3>), <sprite name=[packs] pack of crops> Pack of Crops (<sprite name=grade3>). Has improved production.
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Industry,3,3,2 [Mat Processed] Planks,2 [Mat Processed] Bricks,2 [Mat Processed] Fabric,50,5,False,False,10,Any,Any,,,[Needs Fullfilment] Ale T3,[Food Processed] Porridge T3,Pack of Crops T3,,
Flawless Cellar,Flawless Cellar,"Can produce:  <sprite name=[needs] wine> Wine (<sprite name=grade3>), <sprite name=[food processed] pickled goods> Pickled Goods (<sprite name=grade3>), <sprite name=[packs] pack of provisions> Pack of Provisions (<sprite name=grade3>). Has improved production.
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Food Production,2,2,2 [Mat Processed] Bricks,2 [Mat Processed] Fabric,,50,5,False,False,10,Any,Any,,,[Needs Fullfilment] Wine T3,[Food Processed] Pickled Goods T3,Pack of Provisions T3,,
Flawless Cooperage,Flawless Cooperage,"Can produce:  <sprite name=[vessel] barrels> Barrels (<sprite name=grade3>), <sprite name=[needs] coats> Coats (<sprite name=grade3>), <sprite name=[packs] pack of luxury goods> Pack of Luxury Goods (<sprite name=grade3>). Has improved production.
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Bricks,,40,5,False,False,10,Any,Any,,,[Vessel] Barrels T3,[Needs Fullfilment] Coats T3,Pack of Luxury Goods T3,,
Flawless Druid,Flawless Druid's Hut,"Can produce:  <sprite name=[crafting] oil> Oil (<sprite name=grade3>), <sprite name=[needs] tea> Tea (<sprite name=grade3>), <sprite name=[needs] coats> Coats (<sprite name=grade3>). Has improved production.
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,2,2,5 [Mat Processed] Planks,2 [Mat Processed] Fabric,,30,5,False,False,10,Any,Any,Any,,Oil T3,[Needs Fullfilment] Tea T3,[Needs Fullfilment] Coats T3,,
Flawless Leatherworks,Flawless Leatherworker,"Can produce:  <sprite name=[vessel] waterskin> Waterskins (<sprite name=grade3>), <sprite name=[needs] boots> Boots (<sprite name=grade3>), <sprite name=[needs] training gear> Training Gear (<sprite name=grade3>). Has improved production.
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,3,3,2 [Mat Processed] Bricks,2 [Mat Processed] Fabric,,25,5,False,False,10,Any,Any,,,[Vessel] Waterskin T3,[Needs Fullfilment] Boots T3,[Needs Fullfilment] Training Gear T3,,
Flawless Rain Mill,Flawless Rain Mill,"Can produce:  <sprite name=[crafting] flour> Flour (<sprite name=grade3>), <sprite name=[needs] scrolls> Scrolls (<sprite name=grade3>), <sprite name=[food processed] paste> Paste (<sprite name=grade3>). Has improved production.
Can use: <sprite name=[water] clearance water> Clearance Water.",Food Production,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Fabric,,20,5,False,False,10,Any,Any,Any,,Flour T3,[Needs Fullfilment] Scrolls T3,[Food Processed] Paste T3,,
Flawless Smelter,Flawless Smelter,"Can produce:  <sprite name=[metal] copper bar> Copper Bars (<sprite name=grade3>), <sprite name=[needs] training gear> Training Gear (<sprite name=grade3>), <sprite name=[food processed] pie> Pie (<sprite name=grade3>). 
Can use: <sprite name=[water] storm water> Storm Water.",Industry,3,3,4 [Mat Processed] Bricks,,,40,5,False,False,10,Any,Any,Any,,Copper Bar T3,[Needs Fullfilment] Training Gear T3,[Food Processed] Pie T3,,
Furnace,Furnace,"Can produce:  <sprite name=[food processed] pie> Pie (<sprite name=grade2>), <sprite name=[food processed] skewers> Skewers (<sprite name=grade2>), <sprite name=[metal] copper bar> Copper Bars (<sprite name=grade2>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Food Production,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Bricks,,40,5,False,False,10,Any,Any,Any,,[Food Processed] Pie T2,[Food Processed] Skewers T2,Copper Bar T2,,
Granary,Granary,"Can produce:  <sprite name=[food processed] pickled goods> Pickled Goods (<sprite name=grade2>), <sprite name=[mat processed] fabric> Fabric (<sprite name=grade2>), <sprite name=[packs] pack of crops> Pack of Crops (<sprite name=grade2>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Food Production,2,2,5 [Mat Processed] Planks,2 [Mat Processed] Fabric,,30,5,False,False,10,Any,Any,Any,,[Food Processed] Pickled Goods T2,[Building Material] Fabric T2,Pack of Crops T2,,
Greenhouse Workshop,Greenhouse,"Uses Drizzle Water to grow crops regardless of the season. Must be placed on fertile soil. Can produce:  <sprite name=[food raw] mushrooms> Mushrooms (<sprite name=grade2>), <sprite name=[food raw] herbs> Herbs (<sprite name=grade2>)",Food Production,2,2,2 [Mat Processed] Bricks,2 [Mat Processed] Fabric,,30,5,False,False,10,Any,Any,Any,,[Greenhouse] Mushrooms T2,[Greenhouse] Herbs T2,,,
Grill,Grill,"Can produce:  <sprite name=[food processed] skewers> Skewers (<sprite name=grade3>), <sprite name=[food processed] paste> Paste (<sprite name=grade2>), <sprite name=[metal] copper bar> Copper Bars (<sprite name=grade1>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Food Production,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Bricks,,40,5,False,False,10,Any,Any,Any,,[Food Processed] Skewers T3,[Food Processed] Paste T2,Copper Bar T1,,
Kiln,Kiln,"Can produce:  <sprite name=[crafting] coal> Coal (<sprite name=grade3>), <sprite name=[mat processed] bricks> Bricks (<sprite name=grade1>), <sprite name=[food processed] jerky> Jerky (<sprite name=grade1>). 
Can use: <sprite name=[water] storm water> Storm Water.",Industry,2,2,4 [Mat Processed] Bricks,,,40,5,False,False,10,Any,Any,Any,,Coal T3,[Building Material] Bricks T1,[Food Processed] Jerky T1,,
Leatherworks,Leatherworker,"Can produce:  <sprite name=[vessel] waterskin> Waterskins (<sprite name=grade3>), <sprite name=[needs] boots> Boots (<sprite name=grade2>), <sprite name=[needs] training gear> Training Gear (<sprite name=grade1>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,3,3,2 [Mat Processed] Bricks,2 [Mat Processed] Fabric,,25,5,False,False,10,Any,Any,,,[Vessel] Waterskin T3,[Needs Fullfilment] Boots T2,[Needs Fullfilment] Training Gear T1,,
Lumbermill,Lumber Mill,"Can produce:  <sprite name=[mat processed] planks> Planks (<sprite name=grade3>), <sprite name=[needs] scrolls> Scrolls (<sprite name=grade1>), <sprite name=[packs] pack of trade goods> Pack of Trade Goods (<sprite name=grade1>). 
Can use: <sprite name=[water] storm water> Storm Water.",Industry,3,2,2 [Mat Processed] Bricks,2 [Mat Processed] Fabric,,25,5,False,False,10,Any,Any,,,[Building Material] Planks T3,[Needs Fullfilment] Scrolls T1,Pack of Trade Goods T1,,
Makeshift Post,Makeshift Post,"Can produce:  <sprite name=[packs] pack of crops> Pack of Crops (<sprite name=grade0>), <sprite name=[packs] pack of provisions> Pack of Provisions (<sprite name=grade0>), <sprite name=[packs] pack of building materials> Pack of Building Materials (<sprite name=grade0>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,2,2,5 [Mat Raw] Wood,,,20,2,True,False,5,Any,Any,,,Pack of Crops T0,Pack of Provisions T0,Pack of Building Materials T0,,
Manufactory,Manufactory,"Can produce:  <sprite name=[mat processed] fabric> Fabric (<sprite name=grade2>), <sprite name=[vessel] barrels> Barrels (<sprite name=grade2>), <sprite name=[crafting] dye> Dye (<sprite name=grade2>). 
Can use: <sprite name=[water] storm water> Storm Water.",Industry,3,3,5 [Mat Processed] Planks,2 [Mat Processed] Fabric,,50,5,False,False,10,Any,Any,Any,,[Building Material] Fabric T2,[Vessel] Barrels T2,Dye T2,,
Pantry,Pantry,"Can produce:  <sprite name=[food processed] porridge> Porridge (<sprite name=grade2>), <sprite name=[food processed] pie> Pie (<sprite name=grade2>), <sprite name=[packs] pack of luxury goods> Pack of Luxury Goods (<sprite name=grade2>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Food Production,2,2,5 [Mat Processed] Planks,2 [Mat Processed] Fabric,,30,5,False,False,10,Any,Any,Any,,[Food Processed] Porridge T2,[Food Processed] Pie T2,Pack of Luxury Goods T2,,
Press,Press,"Can produce:  <sprite name=[crafting] oil> Oil (<sprite name=grade3>), <sprite name=[crafting] flour> Flour (<sprite name=grade1>), <sprite name=[food processed] paste> Paste (<sprite name=grade1>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Bricks,,20,5,False,False,10,Any,Any,Any,,Oil T3,Flour T1,[Food Processed] Paste T1,,
Provisioner,Provisioner,"Can produce:  <sprite name=[crafting] flour> Flour (<sprite name=grade2>), <sprite name=[vessel] barrels> Barrels (<sprite name=grade2>), <sprite name=[packs] pack of provisions> Pack of Provisions (<sprite name=grade2>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,3,2,8 [Mat Processed] Planks,4 [Mat Processed] Fabric,,40,5,False,False,10,Any,Any,,,Flour T2,[Vessel] Barrels T2,Pack of Provisions T2,,
Rain Mill,Rain Mill,"Can produce:  <sprite name=[crafting] flour> Flour (<sprite name=grade3>), <sprite name=[needs] scrolls> Scrolls (<sprite name=grade1>), <sprite name=[food processed] paste> Paste (<sprite name=grade1>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Food Production,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Fabric,,20,5,False,False,10,Any,Any,Any,,Flour T3,[Needs Fullfilment] Scrolls T1,[Food Processed] Paste T1,,
Rainpunk Foundry,Rainpunk Foundry,"A very advanced piece of technology. Can produce  <sprite name=[mat processed] parts> Parts (<sprite name=grade3>), <sprite name=hearth parts> Wildfire Essence (<sprite name=grade3>).
 Can use: <sprite name=[water] storm water> Storm Water.",Industry,3,3,8 [Mat Processed] Planks,2 [Mat Processed] Bricks,2 [Mat Processed] Fabric,25,10,False,False,10,Any,Any,Any,,[R] Parts,Hearth Parts T3,,,
Ranch,Ranch,"Can produce:  <sprite name=[food raw] meat> Meat (<sprite name=grade1>), <sprite name=[mat raw] leather> Leather (<sprite name=grade1>), <sprite name=[food raw] eggs> Eggs (<sprite name=grade1>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Food Production,3,3,5 [Mat Processed] Planks,,,40,5,False,False,10,Any,Any,,,Meat (workshop) T1,Leather (workshop) T1,Workshop Eggs T1,,
Scribe,Scribe,"Can produce:  <sprite name=[needs] scrolls> Scrolls (<sprite name=grade3>), <sprite name=[packs] pack of trade goods> Pack of Trade Goods (<sprite name=grade2>), <sprite name=[needs] ale> Ale (<sprite name=grade1>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Fabric,,40,5,False,False,10,Any,Any,Any,,[Needs Fullfilment] Scrolls T3,Pack of Trade Goods T2,[Needs Fullfilment] Ale T1,,
Smelter,Smelter,"Can produce:  <sprite name=[metal] copper bar> Copper Bars (<sprite name=grade3>), <sprite name=[needs] training gear> Training Gear (<sprite name=grade2>), <sprite name=[food processed] pie> Pie (<sprite name=grade1>). 
Can use: <sprite name=[water] storm water> Storm Water.",Industry,3,3,4 [Mat Processed] Bricks,,,40,5,False,False,10,Any,Any,Any,,Copper Bar T3,[Needs Fullfilment] Training Gear T2,[Food Processed] Pie T1,,
Smithy,Smithy,"Can produce:  <sprite name=[tools] simple tools> Tools (<sprite name=grade2>), <sprite name=[mat processed] pipe> Pipes (<sprite name=grade2>), <sprite name=[packs] pack of trade goods> Pack of Trade Goods (<sprite name=grade2>). 
Can use: <sprite name=[water] storm water> Storm Water.",Industry,3,3,5 [Mat Processed] Planks,2 [Mat Processed] Bricks,,50,5,False,False,10,Any,Any,,,Tools Simple T2,Pipe T2,Pack of Trade Goods T2,,
Smokehouse,Smokehouse,"Can produce:  <sprite name=[food processed] jerky> Jerky (<sprite name=grade3>), <sprite name=[vessel] pottery> Pottery (<sprite name=grade1>), <sprite name=[needs] incense> Incense (<sprite name=grade1>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Food Production,3,3,5 [Mat Processed] Planks,2 [Mat Processed] Fabric,,50,5,False,False,10,Any,Any,Any,,[Food Processed] Jerky T3,[Vessel] Pottery T1,[Needs Fullfilment] Incense T1,,
Stamping Mill,Stamping Mill,"Can produce:  <sprite name=[mat processed] bricks> Bricks (<sprite name=grade2>), <sprite name=[crafting] flour> Flour (<sprite name=grade2>), <sprite name=[metal] copper bar> Copper Bars (<sprite name=grade2>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,2,2,5 [Mat Processed] Planks,2 [Mat Processed] Bricks,,20,5,False,False,10,Any,Any,,,[Building Material] Bricks T2,Flour T2,Copper Bar T2,,
Supplier,Supplier,"Can produce:  <sprite name=[crafting] flour> Flour (<sprite name=grade2>), <sprite name=[mat processed] planks> Planks (<sprite name=grade2>), <sprite name=[vessel] waterskin> Waterskins (<sprite name=grade2>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,3,3,5 [Mat Processed] Planks,2 [Mat Processed] Bricks,,50,5,False,False,10,Any,Any,,,Flour T2,[Building Material] Planks T2,[Vessel] Waterskin T2,,
Tea House,Teahouse,"Can produce:  <sprite name=[needs] tea> Tea (<sprite name=grade3>), <sprite name=[needs] incense> Incense (<sprite name=grade2>), <sprite name=[vessel] waterskin> Waterskins (<sprite name=grade1>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Industry,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Bricks,,20,5,False,False,10,Any,Any,,,[Needs Fullfilment] Tea T3,[Needs Fullfilment] Incense T2,[Vessel] Waterskin T1,,
Tinctury,Tinctury,"Can produce:  <sprite name=[crafting] dye> Dye (<sprite name=grade3>), <sprite name=[needs] ale> Ale (<sprite name=grade2>), <sprite name=[needs] wine> Wine (<sprite name=grade1>). 
Can use: <sprite name=[water] drizzle water> Drizzle Water.",Industry,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Fabric,,40,5,False,False,10,Any,Any,,,Dye T3,[Needs Fullfilment] Ale T2,[Needs Fullfilment] Wine T1,,
Tinkerer,Tinkerer,"Can produce:  <sprite name=[tools] simple tools> Tools (<sprite name=grade2>), <sprite name=[needs] training gear> Training Gear (<sprite name=grade2>), <sprite name=[vessel] pottery> Pottery (<sprite name=grade2>). 
Can use: <sprite name=[water] storm water> Storm Water.",Industry,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Bricks,,50,5,False,False,10,Any,Any,Any,,Tools Simple T2,[Needs Fullfilment] Training Gear T2,[Vessel] Pottery T2,,
Toolshop,Toolshop,"Can produce:  <sprite name=[tools] simple tools> Tools (<sprite name=grade3>), <sprite name=[mat processed] pipe> Pipes (<sprite name=grade2>), <sprite name=[needs] boots> Boots (<sprite name=grade2>). 
Can use: <sprite name=[water] storm water> Storm Water.",Industry,3,2,5 [Mat Processed] Planks,2 [Mat Processed] Fabric,,40,5,False,False,10,Any,Any,,,Tools Simple T3,Pipe T2,[Needs Fullfilment] Boots T2,,
Weaver,Weaver,"Can produce:  <sprite name=[mat processed] fabric> Fabric (<sprite name=grade3>), <sprite name=[needs] boots> Boots (<sprite name=grade1>), <sprite name=[needs] training gear> Training Gear (<sprite name=grade1>). 
Can use: <sprite name=[water] clearance water> Clearance Water.",Industry,3,2,8 [Mat Processed] Planks,,,40,5,False,False,10,Any,Any,,,[Building Material] Fabric T3,[Needs Fullfilment] Boots T1,[Needs Fullfilment] Training Gear T1,,
Workshop,Workshop,"Can produce:  <sprite name=[mat processed] planks> Planks (<sprite name=grade2>), <sprite name=[mat processed] fabric> Fabric (<sprite name=grade2>), <sprite name=[mat processed] bricks> Bricks (<sprite name=grade2>), <sprite name=[mat processed] pipe> Pipes (<sprite name=grade0>). 
Can use: <sprite name=[water] storm water> Storm Water.",Industry,3,3,4 [Mat Processed] Planks,4 [Mat Processed] Bricks,4 [Mat Processed] Fabric,20,5,False,False,10,Any,Any,,,[Building Material] Planks T2,[Building Material] Fabric T2,[Building Material] Bricks T2,Pipe T0,
