id,displayName,description,iconName,source,rarity,price,
Barrels +2,Advanced Coopering,"+2 to <sprite name=""[vessel] barrels""> Barrels production. Gain additional <sprite name=""[vessel] barrels""> Barrels every yield (from gathering, farming, or production).",Icon_Resource_Barrels,"Trader, Order, Relic",Uncommon,160,
Scout +5,Scout's Pack,Workers assigned to Glade Events can carry 5 more items.,BagsAndBoxes_22,"Trader, Order, Relic",Uncommon,160,
Beaver Faction Support,Beaver Clan Support,"Ever since the Great Civil War, all species have been locked in a constant struggle to gain the Queen's favor. The Beaver clan remembers your help. (+3 to Beavers Resolve)",Order_Generic 2,"Trader, Order",Rare,240,
Ink +2,Big Phials,"+2 to <sprite name=""[crafting] pigment""> Pigment production. Gain additional <sprite name=""[crafting] pigment""> Pigment every yield (from gathering, farming, or production).",Icon_Resource_Pigment,"Trader, Relic",Uncommon,160,
Metalurgic Proficiency 33,Metallurgic Proficiency,"Increases the production speed of Copper Bars, Crystalized Dew, and all recipes that use metal ingots by +33%.",en_craft_62,"Cornerstone, Trader, Order",Epic,260,
Extra Beaver Newcommers,Beaver Friendship,2 additional Beavers will come with each group of newcomers.,beaver_temp,Trader,Epic,280,
Construction Speed 50,Enhanced Blueprints,Builders construct buildings 50% faster.,en_craft_79,Trader,Uncommon,120,
Blood Price,Blood Price Contract,"A shady, but lucrative deal. Gain 10 <sprite name=""[valuable] amber""> Amber every time a villager dies or leaves.",addons_46_b,"Cornerstone, Trader",Epic,290,
Mushroom Specialization,Fungal Guide,"Ancient mushroom farming techniques are described within. <sprite name=""[food raw] mushrooms""> Mushroom production increases by +1 every 25 times it's produced.",book_03_b,"Cornerstone, Trader",Epic,280,
Wine +3,Advanced Filters,"+3 to <sprite name=""[needs] wine""> Wine production. Gain additional <sprite name=""[needs] wine""> Wine every yield (from gathering, farming, or production).",Icon_Resource_Wine,Trader,Rare,240,
Ink +3,Big Phials,"+3 to <sprite name=""[crafting] pigment""> Pigment production. Gain additional <sprite name=""[crafting] pigment""> Pigment every yield (from gathering, farming, or production).",Icon_Resource_Pigment,"Trader, Relic",Rare,240,
Longer Drizzle +25,Drizzle Totem,+25% to Drizzle duration.,artifact_07_b,Trader,Rare,240,
Longer Clearance +25,Clearance Totem,+25% to Clearance duration.,NecromancerIcons_17_b,Trader,Rare,220,
Shorter Storm -15,Storm Shield,-15% to Storm duration.,TrophyIcons_add_007_b,Trader,Rare,220,
Coal +1,Specialized Mining,"+1 to <sprite name=""[crafting] coal""> Coal production. Gain additional <sprite name=""[crafting] coal""> Coal every yield (from gathering, farming, or production).",Icon_Resource_Coal,"Trader, Order, Relic",Rare,240,
NeedPerk Ale Resolve,Spiced Ale,"Spiced ale is even better than regular ale. Additional +5 to Resolve when under the effect of <sprite name=""[needs] ale""> leisure.",200_b,"Trader, Order",Rare,200,
Builder +10,Builder's Pack,Any Builder can carry 10 additional items.,BagsAndBoxes_66,Trader,Rare,220,
Extra Harpy Newcommers,Harpy Friendship,2 additional Harpies will come with each group of newcomers.,harpy_temp,Trader,Rare,225,
Paper +3,Advanced Press,"+3 to <sprite name=""[needs] scrolls""> Scrolls production. Gain additional <sprite name=""[needs] scrolls""> Scrolls every yield (from gathering, farming, or production).",Icon_Resource_Scrolls,Trader,Rare,240,
NeedPerk Education Production,Working Hard and Smart,"A motivational pamphlet. Has a 10% chance of producing double yields when under the effect of <sprite name=""[needs] scrolls""> education.",ScrollsAndBooks_68,Trader,Rare,240,
NeedPerk Coats Breaks,Drying Boards,"A clever invention that makes it easier to dry clothes. Time spent resting is reduced by –30% when under the effect of <sprite name=""[needs] coats""> clothing.",engeniring_57_b,Trader,Rare,200,
Tea +3,Tea Infuser,"+3 to <sprite name=""[needs] tea""> Tea production. Gain additional <sprite name=""[needs] tea""> Tea every yield (from gathering, farming, or production).",Icon_Resource_Tea,"Trader, Order",Rare,240,
Planks +3,Reinforced Saw Blades,"+3 to <sprite name=""[mat processed] planks""> Planks production. Gain additional <sprite name=""[mat processed] planks""> Planks every yield (from gathering, farming, or production).",Icon_Resource_Planks,Trader,Epic,260,
Extra Lizard Newcommers,Lizard Friendship,2 additional Lizards will come with each group of newcomers.,lizard_temp,"Trader, Order",Rare,225,
Fabric +3,Reinforced Needles,"+3 to <sprite name=""[mat processed] fabric""> Fabric production. Gain additional <sprite name=""[mat processed] fabric""> Fabric every yield (from gathering, farming, or production).",Icon_Resource_Fabric,Trader,Epic,260,
Resin +1,Bleeding Trees,"+1 to <sprite name=""[mat raw] resin""> Resin production. Gain additional <sprite name=""[mat raw] resin""> Resin every yield (from gathering, farming, or production).",Icon_Resource_Resin,"Trader, Order, Relic",Rare,200,
Pickled Goods +3,Pickle Jars,"+3 to <sprite name=""[food processed] pickled goods""> Pickled Goods production. Gain additional <sprite name=""[food processed] pickled goods""> Pickled Goods every yield (from gathering, farming, or production).",Icon_Resource_PickledGoods,"Trader, Order, Relic",Rare,240,
Pie +3,Bigger Ovens,"+3 to <sprite name=""[food processed] pie""> Pie production. Gain additional <sprite name=""[food processed] pie""> Pie every yield (from gathering, farming, or production).",Icon_Resource_Pie,Trader,Rare,240,
Extra Human Newcommers,Human Friendship,2 additional Humans will come with each group of newcomers.,human_temp,"Trader, Order",Rare,225,
Brewery +50 (Composite),Efficient Brewing,+50% to amount of goods produced in the Brewery.,Brewery_icon,Trader,Epic,280,
Human Faction Support,Human Clan Support,"Ever since the Great Civil War, all species have been locked in a constant struggle to gain the Queen's favor. The Humans remember your help. (+3 to Humans Resolve)",Order_Generic 2,"Trader, Order",Rare,240,
Makeshift Post  +50,Worker Mobilization,+50% to amount of goods produced in the Makeshift Post.,Makeshift Post_icon,"Trader, Order",Epic,250,
Vegetables +2,Giant Vegetables,"+2 to <sprite name=""[food raw] vegetables""> Vegetables production. Gain additional <sprite name=""[food raw] vegetables""> Vegetables every yield (from gathering, farming, or production).",Icon_Resource_Vegetables,"Cornerstone, Trader, Relic",Epic,260,
Grain Specialization,Grain Bags,"Specialized grain farming techniques. <sprite name=""[food raw] grain""> Grain production increases by +1 every 25 times it's produced.",grains,"Cornerstone, Trader",Epic,280,
Packs of Goods +1,Export Specialization,Gain +1 to production yields for all packs of goods.,BagsAndBoxes_26,"Cornerstone, Trader, Order, Relic",Epic,270,
Biscuits +3,Bigger Pans,"+3 to <sprite name=""[food processed] biscuits""> Biscuits production. Gain additional <sprite name=""[food processed] biscuits""> Biscuits every yield (from gathering, farming, or production).",Icon_Resource_Biscuits,Trader,Rare,240,
Training Gear +3,Woodworking Tools,"+3 to <sprite name=""[needs] training gear""> Training Gear production. Gain additional <sprite name=""[needs] training gear""> Training Gear every yield (from gathering, farming, or production).",Icon_Resource_TrainingGear,Trader,Rare,240,
Jerky +3,Salted Jerky,"+3 to <sprite name=""[food processed] jerky""> Jerky production. Gain additional <sprite name=""[food processed] jerky""> Jerky every yield (from gathering, farming, or production).",Icon_Resource_Jerky,"Trader, Order",Rare,240,
Ale +3,Bigger Barrels,"+3 to <sprite name=""[needs] ale""> Ale production. Gain additional <sprite name=""[needs] ale""> Ale every yield (from gathering, farming, or production).",Icon_Resource_Ale,Trader,Rare,240,
Bricks +3,Reinforced Brick Mold,"+3 to <sprite name=""[mat processed] bricks""> Bricks production. Gain additional <sprite name=""[mat processed] bricks""> Bricks every yield (from gathering, farming, or production).",Icon_Resource_Bricks,Trader,Epic,180,
Oil +3,Heavy Press,"+3 to <sprite name=""[crafting] oil""> Oil production. Gain additional <sprite name=""[crafting] oil""> Oil every yield (from gathering, farming, or production).",Icon_Resource_Oil,Trader,Rare,240,
Vegetables +1,Giant Vegetables,"+1 to <sprite name=""[food raw] vegetables""> Vegetables production. Gain additional <sprite name=""[food raw] vegetables""> Vegetables every yield (from gathering, farming, or production).",Icon_Resource_Vegetables,"Trader, Order",Rare,220,
Accidental Jerky,Sahilda's Secret Cookbook,"Top 10 tips on how to cook more efficiently - by Sahilda. Gain 10 <sprite name=""[food processed] jerky""> Jerky for every 10 <sprite name=""[food processed] pie""> Pie produced.",book_08_b,"Cornerstone, Trader, Relic",Epic,260,
Crude Workstation +50,Workstation Upgrade,+50% to amount of goods produced in the Crude Workstation.,Crude Workstation_icon,"Trader, Order",Epic,260,
Trading Packs,Trade Logs,Detailed notes on different traders and their wares. Gain 1 additional active trade route slot. Traders will arrive 25% quicker.,ScrollsAndBooks_03,"Cornerstone, Trader, Order",Epic,280,
Skewers +3,Bigger Grill,"+3 to <sprite name=""[food processed] skewers""> Skewers production. Gain additional <sprite name=""[food processed] skewers""> Skewers every yield (from gathering, farming, or production).",Icon_Resource_Skewers,"Trader, Order",Rare,240,
Berries +1,Large Berry Baskets,"+1 to <sprite name=""[food raw] berries""> Berries production. Gain additional <sprite name=""[food raw] berries""> Berries every yield (from gathering, farming, or production).",Icon_Resource_Berries,Order,Rare,0,
Insects +1,Nets,"+1 to <sprite name=""[food raw] insects""> Insects production. Gain additional <sprite name=""[food raw] insects""> Insects every yield (from gathering, farming, or production).",Icon_Resource_Insects,Order,Rare,0,
Roots +1,Steel Penknives,"+1 to <sprite name=""[food raw] roots""> Roots production. Gain additional <sprite name=""[food raw] roots""> Roots every yield (from gathering, farming, or production).",Icon_Resource_Roots,"Order, Relic",Rare,0,
Meat +1,Nets,"+1 to <sprite name=""[food raw] meat""> Meat production. Gain additional <sprite name=""[food raw] meat""> Meat every yield (from gathering, farming, or production).",Icon_Resource_Meat,Order,Rare,0,
Roots 5pm,Root Delivery Line,"5 <sprite name=""[food raw] roots""> Roots per minute.",Icon_Resource_Roots,Order,Epic,0,
Butcher +50,Meat Cleavers,+50% to amount of goods produced in the Butcher.,Butcher_icon,Order,Epic,0,
Mushrooms 5pm,Mushroom Delivery Line,"5 <sprite name=""[food raw] mushrooms""> Mushrooms per minute.",Icon_Resource_Mushrooms,Order,Epic,0,
Herbs 5pm,Herb Delivery Line,"5 <sprite name=""[food raw] herbs""> Herbs per minute.",Icon_Resource_Herbs,Order,Epic,0,
Grain 5pm,Grain Delivery Line,"5 <sprite name=""[food raw] grain""> Grain per minute.",Icon_Resource_Grain,Order,Epic,0,
Meat 5pm,Meat Delivery Line,"5 <sprite name=""[food raw] meat""> Meat per minute.",Icon_Resource_Meat,Order,Epic,0,
Reeds 5pm,Reed Delivery Line,"5 <sprite name=""[mat raw] reeds""> Reed per minute.",Icon_Resource_Reeds,Order,Epic,0,
Stone 5pm,Stone Delivery Line,"5 <sprite name=""[mat raw] stone""> Stone per minute.",Icon_Resource_Stone,Order,Epic,0,
Planks +1,Reinforced Saw Blades,"+1 to <sprite name=""[mat processed] planks""> Planks production. Gain additional <sprite name=""[mat processed] planks""> Planks every yield (from gathering, farming, or production).",Icon_Resource_Planks,"Order, Relic",Uncommon,0,
Pack of Crops +1,Industrialized Farming,"+1 to <sprite name=""[packs] pack of crops""> Pack of Crops production. Gain additional <sprite name=""[packs] pack of crops""> Pack of Crops every yield (from gathering, farming, or production).",Icon_Resource_Crops,Order,Uncommon,0,
Fabric +1,Reinforced Needles,"+1 to <sprite name=""[mat processed] fabric""> Fabric production. Gain additional <sprite name=""[mat processed] fabric""> Fabric every yield (from gathering, farming, or production).",Icon_Resource_Fabric,"Order, Relic",Uncommon,0,
Trade Pack in Makeshift Post,Better Packaging,"<sprite name=""[packs] pack of trade goods""> packs of trade goods (<sprite name=grade2>) can be produced at the Makeshift Post.",Icon_Resource_TradeGoods,Order,Rare,0,
Fox Faction Support,Fox Pack Support,"Ever since the Great Civil War, all species have been locked in a constant struggle to gain the Queen's favor. The Fox tribe remembers your help. (+3 to Foxes Resolve)",Order_Generic 2,Order,Rare,0,
Harpy Faction Support,Harpy Clan Support,"The Flock was neutral during the Great Civil War, but you've proven your worth to them now. (+3 to Harpies Resolve)",Order_Generic 2,Order,Rare,0,
Lizard Faction Support,Lizard Clan Support,"Ever since the Great Civil War, all species have been locked in a constant struggle to gain the Queen's favor. The Lizard elders remember your help. (+3 to Lizards Resolve)",Order_Generic 2,Order,Rare,0,
Wine +2,Advanced Filters,"+2 to <sprite name=""[needs] wine""> Wine production. Gain additional <sprite name=""[needs] wine""> Wine every yield (from gathering, farming, or production).",Icon_Resource_Wine,"Order, Relic",Uncommon,0,
SmallFarm +25 (Composite),Old Ghran's Technique,+25% to amount of goods produced in the Small Farm.,SmallFarm_icon,Order,Rare,0,
Plantation +25,Large Baskets,+25% to amount of goods produced in the Plantation.,Plantation_icon,Order,Rare,0,
Herb Garden +25 (Composite),Advanced Herbalism,+25% to amount of goods produced in the Herb Garden.,Herb Garden_icon,Order,Rare,0,
Blight Fuel +1,Fuel Mix,"+1 to <sprite name=""blight fuel""> Purging Fire production. Gain additional <sprite name=""blight fuel""> Purging Fire every yield (from gathering, farming, or production).",Icon_Resource_PurgingFire,"Order, Relic",Rare,0,
Extra Fox Newcommers,Fox Friendship,2 additional Foxes will come with each group of newcomers.,fox_temp,Order,Rare,0,
Biscuits +2,Bigger Pans,"+2 to <sprite name=""[food processed] biscuits""> Biscuits production. Gain additional <sprite name=""[food processed] biscuits""> Biscuits every yield (from gathering, farming, or production).",Icon_Resource_Biscuits,Order,Uncommon,0,
Jerky +2,Salted Jerky,"+2 to <sprite name=""[food processed] jerky""> Jerky production. Gain additional <sprite name=""[food processed] jerky""> Jerky every yield (from gathering, farming, or production).",Icon_Resource_Jerky,"Order, Relic",Uncommon,0,
Eggs +1,Egg Containers,"+1 to <sprite name=""[food raw] eggs""> Eggs production. Gain additional <sprite name=""[food raw] eggs""> Eggs every yield (from gathering, farming, or production).",Icon_Resource_Eggs,Order,Rare,0,
Oil +2,Heavy Press,"+2 to <sprite name=""[crafting] oil""> Oil production. Gain additional <sprite name=""[crafting] oil""> Oil every yield (from gathering, farming, or production).",Icon_Resource_Oil,"Order, Relic",Uncommon,0,
Builder +5,Builder's Pack,Any Builder can carry 5 additional items.,BagsAndBoxes_66,"Order, Relic",Uncommon,0,
Waterskins +2,Advanced Leatherworking,"+2 to <sprite name=""[vessel] waterskin""> Waterskins production. Gain additional <sprite name=""[vessel] waterskin""> Waterskins every yield (from gathering, farming, or production).",Icon_Resource_Waterskins,"Order, Relic",Uncommon,0,
Fuel Recipes Rate 33,Advanced Fuel,All fuel recipes are 33% faster.,pt_b_07,"Order, Relic",Epic,0,
Porridge +3,Puffed Grain,"+3 to <sprite name=""[food processed] porridge""> Porridge production. Gain additional <sprite name=""[food processed] porridge""> Porridge every yield (from gathering, farming, or production).",Icon_Resource_Porridge,Order,Uncommon,0,
Exploration Contract,Exploration Contract,"The Royal Academy wants a detailed map of the region, and will supply anyone willing to help. Gain 20 <sprite name=""[mat raw] reeds""> Reed and 20 <sprite name=""[mat raw] clay""> Clay for each discovered glade.",SGI_85,"Cornerstone, Order, Relic",Epic,0,
Clay 5pm,Clay Delivery Line,"5 <sprite name=""[mat raw] clay""> Clay per minute.",Icon_Resource_Clay,Order,Epic,0,
Tea 5pm,Tea Delivery Line,"5 <sprite name=""[needs] tea""> Tea per minute.",Icon_Resource_Tea,Order,Epic,0,
Insects 5pm,Insect Delivery Line,"5 <sprite name=""[food raw] insects""> Insects per minute.",Icon_Resource_Insects,Order,Epic,0,
Fiber 5pm,Fiber Delivery Line,"5 <sprite name=""[mat raw] plant fibre""> Plant Fiber per minute.",Icon_Resource_PlantFiber,Order,Epic,0,
Coal 5pm,Coal Delivery Line,"5 <sprite name=""[crafting] coal""> Coal per minute.",Icon_Resource_Coal,Order,Epic,0,
Woodcuters +10,Light Timber,Any Woodcutter can carry 10 additional items.,BagsAndBoxes_74,"Order, Relic",Rare,0,
Lumber Speed +30,Reinforced Axes,Woodcutting is a lot easier. Woodcutters' Camp production is 30% quicker.,axe_b_01,Order,Rare,0,
Oil 5pm,Oil Delivery Line,"5 <sprite name=""[crafting] oil""> Oil per minute.",Icon_Resource_Oil,"Order, Relic",Epic,0,
Ancient Artifact 3,Ancient Artifact,"A strange device left behind by the Great Civilization. When soaked in rainwater, it radiates warm light and brings encouragement to those around it. (+3 to Global Resolve)",artifact_11_b,"Order, Relic",Legendary,0,
